0.03176, 0.03740
0.90296, 0.56026
0.39814, 0.07302
0.94808, 0.97195
0.42961, 0.04406
0.36967, 0.92293
0.08301, 0.07182
0.07212, 0.66948
0.05147, 0.06067
0.85407, 0.41000
0.41072, 0.03573
0.13152, 0.57465
0.41057, 0.86008
0.79163, 0.46515
0.06538, 0.71421
0.32883, 0.97857
0.92837, 0.52168
0.85142, 0.44340
0.79329, 0.38538
0.00443, 0.06797
0.93922, 0.97574
0.36465, 0.90811
0.96057, 0.57266
0.15726, 0.61306
0.42552, 0.06469
0.94142, 0.51174
0.91339, 0.51640
0.60576, 0.16128
0.54258, 0.17122
0.22496, 0.56063
0.51085, 0.17696
0.31866, 0.97430
0.95506, 0.93151
0.06574, 0.73880
0.03287, 0.03210
0.44952, 0.08646
0.09508, 0.03819
0.17300, 0.55167
0.80240, 0.42326
0.17828, 0.54870
0.77518, 0.38875
0.80549, 0.46290
0.08849, 0.73805
0.32014, 0.96512
0.31677, 0.94738
0.90797, 0.58189
0.05374, 0.05388
0.45213, 0.11862
0.26078, 0.91650
0.10291, 0.05595
0.12408, 0.67810
0.03952, 0.06207
0.02117, 0.10890
0.57547, 0.20272
0.54499, 0.19398
0.33788, 0.91383
0.42837, 0.02812
0.44061, 0.11320
0.39432, 0.85573
0.92188, 0.91556
0.51146, 0.20414
0.93665, 0.90118
0.30623, 0.96363
0.43294, 0.07488
0.50777, 0.18041
0.42169, 0.01553
0.26481, 0.90906
0.43445, 0.04842
0.23165, 0.57402
0.92046, 0.96056
0.81349, 0.40170
0.89392, 0.90009
0.21214, 0.55232
0.48624, 0.05410
0.59371, 0.17257
0.87315, 0.42890
0.47645, 0.02307
0.57894, 0.15757
0.57054, 0.18313
0.46253, 0.77930
0.01098, 0.65410
0.09088, 0.72645
0.11030, 0.09131
0.08102, 0.10985
0.04898, 0.70165
0.06992, 0.08652
0.11832, 0.04856
0.92990, 0.57459
0.39698, 0.78349
0.19314, 0.52456
0.04739, 0.10302
0.03013, 0.04492
0.33350, 0.91528
0.21550, 0.54591
0.88894, 0.90133
0.20637, 0.52891
0.44267, 0.75362
0.76011, 0.46275
0.92861, 0.92066
0.17657, 0.58666
0.41077, 0.10915
0.79046, 0.38466
0.96070, 0.57623
0.95424, 0.95607
0.29921, 0.95947
0.48115, 0.08333
0.30308, 0.95829
0.76671, 0.42172
0.13802, 0.53263
0.46693, 0.09024
0.76749, 0.42081
0.41097, 0.04394
0.07852, 0.70311
0.57208, 0.18260
0.43493, 0.10062
0.09808, 0.04259
0.42653, 0.78216
